id,interval_start,interval_end,consumption,mpan,meter_serial
71,"2025-02-11 01:00:00","2025-02-11 02:00:00",0.432,1900015119183,19L3542545
72,"2025-02-11 00:00:00","2025-02-11 01:00:00",2.536,1900015119183,19L3542545
73,"2025-02-10 23:00:00","2025-02-11 00:00:00",0.009,1900015119183,19L3542545
74,"2025-02-10 22:00:00","2025-02-10 23:00:00",0.009,1900015119183,19L3542545
75,"2025-02-10 21:00:00","2025-02-10 22:00:00",3.216,1900015119183,19L3542545
76,"2025-02-10 20:00:00","2025-02-10 21:00:00",7.183,1900015119183,19L3542545
77,"2025-02-10 19:00:00","2025-02-10 20:00:00",0.01,1900015119183,19L3542545
78,"2025-02-10 18:00:00","2025-02-10 19:00:00",0.007,1900015119183,19L3542545
79,"2025-02-10 17:00:00","2025-02-10 18:00:00",0.008,1900015119183,19L3542545
80,"2025-02-10 16:00:00","2025-02-10 17:00:00",0.005,1900015119183,19L3542545
81,"2025-02-10 15:00:00","2025-02-10 16:00:00",0.008,1900015119183,19L3542545
82,"2025-02-10 14:00:00","2025-02-10 15:00:00",0.008,1900015119183,19L3542545
83,"2025-02-10 13:00:00","2025-02-10 14:00:00",0.007,1900015119183,19L3542545
84,"2025-02-10 12:00:00","2025-02-10 13:00:00",0.008,1900015119183,19L3542545
85,"2025-02-10 11:00:00","2025-02-10 12:00:00",0.008,1900015119183,19L3542545
86,"2025-02-10 10:00:00","2025-02-10 11:00:00",0.005,1900015119183,19L3542545
87,"2025-02-10 09:00:00","2025-02-10 10:00:00",0.006,1900015119183,19L3542545
88,"2025-02-10 08:00:00","2025-02-10 09:00:00",0.004,1900015119183,19L3542545
89,"2025-02-10 07:00:00","2025-02-10 08:00:00",5.05,1900015119183,19L3542545
90,"2025-02-10 06:00:00","2025-02-10 07:00:00",0.005,1900015119183,19L3542545
91,"2025-02-10 05:00:00","2025-02-10 06:00:00",0.446,1900015119183,19L3542545
92,"2025-02-10 04:00:00","2025-02-10 05:00:00",2.196,1900015119183,19L3542545
93,"2025-02-10 03:00:00","2025-02-10 04:00:00",0.42,1900015119183,19L3542545
94,"2025-02-10 02:00:00","2025-02-10 03:00:00",0.419,1900015119183,19L3542545
